county,state,fips,total_cases,total_deaths,cfr,cfr_percent,mean_daily_cfr,median_daily_cfr,std_daily_cfr,min_daily_cfr,max_daily_cfr
Beadle,South Dakota,46005,3721,49,0.013168503090567052,1.3168503090567052,0.018354823149514296,0.013696285284172712,0.019447339624050562,0.0,0.09523809523809523
Kitsap,Washington,53035,20051,264,0.013166425614682559,1.316642561468256,0.011999154645552061,0.013062251432403228,0.0031103538501109397,0.0,0.023809523809523808
Winchester city,Virginia,51840,4406,58,0.013163867453472538,1.3163867453472538,0.01111308968169159,0.011363636363636364,0.004809180704122833,0.0,0.016683690840994213
Crawford,Illinois,17033,3875,51,0.013161290322580645,1.3161290322580645,0.011871703294668834,0.013722846537206184,0.007695740630651413,0.0,0.020028612303290415
Westchester,New York,36119,182681,2403,0.013154077326049233,1.3154077326049234,0.025087680260797236,0.019280128431120792,0.01191805291623859,0.0,0.04490095377842993
Marshall,Iowa,19127,7148,94,0.01315053161723559,1.315053161723559,0.01448231542490486,0.015522875816993464,0.004312363874790859,0.0,0.01997780244173141
Crawford,Iowa,19047,3729,49,0.013140252078305176,1.3140252078305177,0.014486013176496827,0.013332532606572987,0.02351513285394195,0.0,0.16666666666666666
Richmond city,Virginia,51760,29694,390,0.013133966457870277,1.3133966457870276,0.015095599817098343,0.014410070243761225,0.006634701708986723,0.0,0.06060606060606061
Allen,Indiana,18003,75061,985,0.01312266023634111,1.312266023634111,0.029099460389266942,0.017891248926290113,0.025050804594460317,0.0,0.2857142857142857
Brown,Minnesota,27015,5031,66,0.01311866428145498,1.311866428145498,0.029129441633819187,0.013080444735120994,0.04045766861844385,0.0,0.2
Sweet Grass,Montana,30097,610,8,0.013114754098360656,1.3114754098360655,0.03078642079967675,0.01749271137026239,0.0477319587424897,0.0,0.25
Woodward,Oklahoma,40153,4194,55,0.013113972341440152,1.3113972341440152,0.006348876860995877,0.004921259842519685,0.004998160868986673,0.0,0.013414634146341463
Walsh,North Dakota,38099,2593,34,0.013112225221750868,1.3112225221750868,0.009028774800848623,0.01282051282051282,0.005686956599002379,0.0,0.014136125654450262
Boise,Idaho,16015,839,11,0.013110846245530394,1.3110846245530394,0.010478221949499189,0.007936507936507936,0.006737609855252261,0.0,0.030303030303030304
Jackson,Missouri,29095,67362,883,0.013108280632997833,1.3108280632997833,0.016840082832778307,0.01217876689985139,0.015528892245663822,0.0,0.2
Vance,North Carolina,37181,7943,104,0.01309328968903437,1.309328968903437,0.030389134373289977,0.018620689655172412,0.021045072663081015,0.0,0.09876543209876543
St. Charles,Louisiana,22089,9784,128,0.013082583810302535,1.3082583810302535,0.028341737519245895,0.017706237424547282,0.01900204178573841,0.0,0.09090909090909091
Carlton,Minnesota,27017,6115,80,0.013082583810302535,1.3082583810302535,0.010079531103558094,0.014103819784524976,0.006575473891887949,0.0,0.01656726308813784
Montgomery,Tennessee,47125,36010,471,0.013079700083310192,1.307970008331019,0.011249843290051912,0.011101662887377173,0.003036072163901002,0.0,0.03076923076923077
Daviess,Missouri,29061,1301,17,0.013066871637202153,1.3066871637202153,0.011490578325025475,0.014076251176460875,0.007313300859580346,0.0,0.025889967637540454
Custer,South Dakota,46033,1531,20,0.013063357282821686,1.3063357282821686,0.011248563873679389,0.013053417771845625,0.005208678378452102,0.0,0.016483516483516484
DeKalb,Georgia,13089,108164,1411,0.013045005732036537,1.3045005732036536,0.016756920394380797,0.015379086239686129,0.005677010671116085,0.0,0.035367694630148806
Brazoria,Texas,48039,66632,869,0.01304178172649778,1.3041781726497779,0.012361620249769837,0.013167978274407927,0.002738836618593134,0.0,0.015458937198067632
Johnson,Nebraska,31097,767,10,0.01303780964797914,1.303780964797914,0.008575612820739261,0.012698412698412698,0.006624363086578118,0.0,0.015267175572519083
St. Joseph,Indiana,18141,55466,721,0.01299895431435474,1.299895431435474,0.019860825329170082,0.015889387561675912,0.01008116566132146,0.0,0.1
Maury,Tennessee,47119,20925,272,0.012998805256869772,1.2998805256869772,0.0111049585575293,0.011864231919942226,0.004925861677060706,0.0,0.03225806451612903
Marion,Oregon,41047,42126,547,0.012984854958932725,1.2984854958932726,0.017934856644136604,0.01523413438419148,0.007339026526468074,0.0,0.05263157894736842
Peoria,Illinois,17143,34463,447,0.012970432057568987,1.2970432057568986,0.02009819168466726,0.015515441487847803,0.012946027659199616,0.0,0.14285714285714285
Essex,New York,36031,3702,48,0.012965964343598054,1.2965964343598055,0.020392296147536525,0.016119088616936228,0.020703894188317147,0.0,0.07909604519774012
Monroe,Indiana,18105,18212,236,0.012958488908412035,1.2958488908412036,0.025705699387773066,0.01445703532690814,0.027145752693400697,0.0,0.13574660633484162
Tarrant,Texas,48439,387921,5023,0.012948512712639944,1.2948512712639944,0.01462762492204867,0.013207603049745761,0.005881730326909259,0.0,0.03982300884955752
Tulare,California,06107,89686,1160,0.01293401422741565,1.2934014227415649,0.018968403702235223,0.016066630843632454,0.011161461010470823,0.0,0.06517311608961303
Jefferson,Kentucky,21111,141826,1834,0.012931338400575353,1.2931338400575354,0.023943169812782657,0.01508132970674508,0.019201596100298143,0.0,0.1
Martin,Indiana,18101,1624,21,0.01293103448275862,1.293103448275862,0.01037516688117913,0.013929618768328446,0.007809671964141305,0.0,0.022267206477732792
Woodbury,Iowa,19193,21817,282,0.01292570014209103,1.292570014209103,0.012667800682941122,0.013475495999188836,0.0036274310152773384,0.0,0.015561619588465227
Linn,Oregon,41043,15971,206,0.012898378310688123,1.2898378310688123,0.02588883245818131,0.015022091310751105,0.022836342649451374,0.0,0.10526315789473684
Pottawatomie,Kansas,20149,3644,47,0.012897914379802415,1.2897914379802415,0.008093264978246705,0.012358231391448427,0.007121105045546759,0.0,0.01615424700364773
Meade,Kentucky,21163,3879,50,0.012889920082495489,1.288992008249549,0.03136378497115979,0.012036108324974924,0.07089006480499953,0.0,0.5
Houghton,Michigan,26061,5668,73,0.012879322512350036,1.2879322512350035,0.009492508587387786,0.012899064817800709,0.005974999260720555,0.0,0.024793388429752067
